city,lat,lng
"אבו בלאל",32.232603,34.952793
"אבו גוש",31.806291,35.109195
"אבו סנאן",32.958029,35.17197
"אבו סריחאן",31.254332,34.881409
"אבו עבדון",31.302815,34.842593
"אבו עמאר",31.138355,34.954034
"אבו עמרה",31.282186,34.87274
"אבו קורינאת (שבט)",31.103114,34.952004
"אבו קורינאת",31.103114,34.952004
"אבו רוקייק",31.259539,34.863898
"אבטין",32.759962,35.114603
"אבטליון",32.83578,35.350443
"אביאל",32.531345,34.993494
"אביבים",33.08938,35.47034
"אביגדור",31.7119,34.740371
"אביחיל",32.350707,34.871231
"אביטל",31.88962,35.022604
"אביעזר",31.681995,35.018823
"אבירים",33.038085,35.286046
"אבן יהודה",32.276647,34.885089
"אבן יצחק (גלעד)",32.558074,35.076561
"אבן יצחק",32.558074,35.076561
"אבן מנחם",33.075142,35.29522
"אבן ספיר",31.762499,35.134993
"אבן שמואל",31.809997,35.195002
"אבני איתן",32.825618,35.766802
"אבני חפץ",32.284627,35.074553
"אבנת",31.679038,35.436946
"אבשלום",31.195395,34.331201
"אדורה",31.552218,35.017635
"אדירים",31.652752,35.23263
"אדמית",33.078842,35.209512
"אדרת",31.659714,34.994441
"אודים",32.266864,34.846996
"אודם",31.737287,35.18109
"אוהד",31.877566,35.126954
"אום אל-גנם",32.676641,35.391945
"אום אל-פחם",32.517126,35.148531
"אום אל-קוטוף",32.468083,35.059151
"אום בטין",31.281259,34.884031
"אומן",48.752611,30.217967
"אומץ",32.369215,34.99313
"אופקים",31.311336,34.622825
"אור הגנוז",33.005182,35.446738
"אור הנר",31.556196,34.602307
"אור יהודה",32.029747,34.856174
"אור עקיבא",32.509964,34.920395
"אורה",31.752108,35.150166
"אורות",31.740363,34.735601
"אורטל",33.086235,35.758662
"אורים",31.304093,34.524869
"אורנים",32.711323,35.109876
"אורנית",32.131923,34.990812
"אושה",32.796457,35.114585
"אזור",32.029557,34.79965
"אחווה",31.753934,35.309725
"אחוזם",31.552681,34.770152
"אחוזת ברק",32.6431,35.338895
"אחיהוד",32.907404,35.171717
"אחיטוב",32.3877,34.990828
"אחיסמך",31.931905,34.908577
"אחיעזר",31.98167,34.871822
"אטרש (שבט)",31.28122,34.912372
"אטרש",31.28122,34.912372
"איבים",31.5335972,34.6096972
"אייל",32.21071,34.978261
"איילת השחר",33.021114,35.576734
"אילון",33.062525,35.219164
"אילות",32.104201,35.183045
"אילניה",32.753907,35.40819
